system,game,art_old,art_new,score
N64,007 - GoldenEye (USA),007 - GoldenEye (USA).png,007 - GoldenEye (USA).png,100.0
N64,007 - The World Is Not Enough (USA),007 - The World Is Not Enough (USA).jpg,007 - The World Is Not Enough (USA).jpg,100.0
N64,"1080 Snowboarding (Japan, USA) (En,Ja)","1080 Snowboarding (Japan, USA) (En,Ja).png","1080 Snowboarding (Japan, USA) (En,Ja).png",100.0
N64,AeroFighters Assault (USA),AeroFighters Assault (USA).jpg,AeroFighters Assault (USA).jpg,100.0
N64,AeroGauge (USA),AeroGauge (USA).jpg,AeroGauge (USA).jpg,100.0
N64,Aidyn Chronicles - The First Mage (USA),Aidyn Chronicles - The First Mage (USA).jpg,Aidyn Chronicles - The First Mage (USA).jpg,100.0
N64,Air Boarder 64 (Europe),Bomberman 64 - The Second Attack! (USA).jpg,Air Boarder 64 (Europe).jpg,85.5
N64,All Star Tennis '99 (USA),All Star Tennis '99 (USA).jpg,All Star Tennis '99 (USA).jpg,100.0
N64,All-Star Baseball '99 (USA),All-Star Baseball '99 (USA).jpg,All-Star Baseball '99 (USA).jpg,100.0
N64,All-Star Baseball 2000 (USA),All-Star Baseball 2000 (USA).jpg,All-Star Baseball 2000 (USA).jpg,100.0
N64,All-Star Baseball 2001 (USA),All-Star Baseball 2001 (USA).jpg,All-Star Baseball 2001 (USA).jpg,100.0
N64,Armorines - Project S.W.A.R.M. (USA),Armorines - Project S.W.A.R.M. (USA).jpg,Armorines - Project S.W.A.R.M. (USA).jpg,100.0
N64,Army Men - Air Combat (USA),Army Men - Air Combat (USA).jpg,Army Men - Air Combat (USA).jpg,100.0
N64,Army Men - Sarge's Heroes (USA),Army Men - Sarge's Heroes (USA).jpg,Army Men - Sarge's Heroes (USA).jpg,100.0
N64,Army Men - Sarge's Heroes 2 (USA),Army Men - Sarge's Heroes 2 (USA).jpg,Army Men - Sarge's Heroes 2 (USA).jpg,100.0
N64,Automobili Lamborghini (USA),Automobili Lamborghini (USA).jpg,Automobili Lamborghini (USA).jpg,100.0
N64,Banjo-Kazooie (USA) (Rev A),Banjo-Kazooie (USA) (Rev A).jpg,Banjo-Kazooie (USA) (Rev A).jpg,100.0
N64,Banjo-Tooie (USA),Banjo-Tooie (USA).jpg,Banjo-Tooie (USA).jpg,100.0
N64,Bassmasters 2000 (USA),Bassmasters 2000 (USA).jpg,Bassmasters 2000 (USA).jpg,100.0
N64,BattleTanx (USA),BattleTanx (USA).jpg,BattleTanx (USA).jpg,100.0
N64,BattleTanx - Global Assault (USA),BattleTanx - Global Assault (USA).jpg,BattleTanx - Global Assault (USA).jpg,100.0
N64,Battlezone - Rise of the Black Dogs (USA),Battlezone - Rise of the Black Dogs (USA).jpg,Battlezone - Rise of the Black Dogs (USA).jpg,100.0
N64,"Beetle Adventure Racing! (USA) (En,Fr,De)","Beetle Adventure Racing! (USA) (En,Fr,De).jpg","Beetle Adventure Racing! (USA) (En,Fr,De).jpg",100.0
N64,Big Mountain 2000 (USA),Big Mountain 2000 (USA).jpg,Big Mountain 2000 (USA).jpg,100.0
N64,Bio F.R.E.A.K.S. (USA),Bio F.R.E.A.K.S. (USA).jpg,Bio F.R.E.A.K.S. (USA).jpg,100.0
N64,Blast Corps (USA) (Rev A),Blast Corps (USA) (Rev A) (1).jpg,Blast Corps (USA) (Rev A).jpg,100.0
N64,Blues Brothers 2000 (USA),Blues Brothers 2000 (USA).jpg,Blues Brothers 2000 (USA).jpg,100.0
N64,Body Harvest (USA),Body Harvest (USA).jpg,Body Harvest (USA).jpg,100.0
N64,Bomberman 64 (USA),Bomberman 64 (USA).jpg,Bomberman 64 (USA).jpg,100.0
N64,Bomberman Hero (Europe),Bomberman Hero (Europe).jpg,Bomberman Hero (Europe).jpg,100.0
N64,Bottom of the 9th (USA),Bottom of the 9th (USA).jpg,Bottom of the 9th (USA).jpg,100.0
N64,Buck Bumble (USA),Buck Bumble (USA).jpg,Buck Bumble (USA).jpg,100.0
N64,"Bug's Life, A (USA)","Bug's Life, A (USA).jpg","Bug's Life, A (USA).jpg",100.0
N64,Bust-A-Move '99 (USA),Bust-A-Move '99 (USA).jpg,Bust-A-Move '99 (USA).jpg,100.0
N64,Bust-A-Move 2 - Arcade Edition (USA),Bust-A-Move 2 - Arcade Edition (USA).jpg,Bust-A-Move 2 - Arcade Edition (USA).jpg,100.0
N64,California Speed (USA),California Speed (USA).jpg,California Speed (USA).jpg,100.0
N64,Carmageddon 64 (USA),Carmageddon 64 (USA).jpg,Carmageddon 64 (USA).jpg,100.0
N64,Castlevania (USA) (Rev B),Castlevania (USA) (Rev B).jpg,Castlevania (USA) (Rev B).jpg,100.0
N64,"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)","Castlevania - Legacy of Darkness (Europe) (En,Fr,De).jpg","Castlevania - Legacy of Darkness (Europe) (En,Fr,De).jpg",100.0
